,0
0,-4.362897674658565
1,-4.447621292860414
2,-4.6234743553036175
3,-4.679063404653055
4,-5.20313230431629
5,-5.559024566345733
6,-5.452744545830073
7,-5.044677706245167
8,-5.143384555274818
9,-4.6445194055486265
10,-4.90087926216133
11,-4.796236563378886
12,-4.550239384725018
13,-4.747801166398868
14,-5.071085250301431
15,-5.008047430797836
16,-4.509357842107208
17,-4.992959957023836
18,-4.485325870824993
19,-3.8650885718634393
20,-4.518358327304173
21,-5.09605032088893
22,-3.7611981040922107
23,-4.699974786439101
24,-4.914690995728071
25,-5.625389437802419
26,-4.622161738958244
27,-5.641237824500589
28,-4.426045013175496
29,-5.007946728824673
30,-4.2459705802049905
31,-5.134031487660855
32,-4.865898480463356
33,-4.554837794168856
34,-4.75513502782244
35,-4.692184505643683
36,-4.534342539533248
37,-4.958465325215487
38,-5.478870456989182
39,-5.403190021942399
40,-5.72986767041983
41,-4.937504789771439
42,-5.393373616182549
43,-4.526736532391489
44,-4.914130935661195
45,-4.583642706352932
46,-4.265657500777623
47,-4.502447432454485
48,-4.812091281482472
49,-4.69677904836577
50,-4.67291862964168
51,-4.129819345976495
52,-5.445152371316323
53,-5.090598413019762
54,-4.8030681091036875
55,-4.9794275733717015
56,-4.998350047639701
57,-4.571828052866694
58,-4.751564946449992
59,-5.42821577513016
60,-5.5103703906205395
61,-4.466025304198323
62,-5.396862619505196
63,-5.4276426941916425
64,-4.501275333302178
65,-5.547020762641451
66,-5.338044222762638
67,-5.005446388345251
68,-3.9513934771614987
69,-4.887945683725049
70,-3.596881601265393
71,-5.3858558969961186
72,-4.22023452934603
73,-5.300418130866373
74,-5.165606153592728
75,-5.123837455632188
76,-4.600203859582973
77,-5.129520152631374
78,-4.903499058856434
79,-4.433503389773692
80,-4.6648318293941795
81,-3.8788747819764575
82,-4.785422147284515
83,-3.962496074445341
84,-4.786321112979076
85,-5.226986682625196
86,-5.560547602435617
87,-5.078174680141805
88,-4.587556693792128
89,-5.103647856885518
90,-4.184803081863247
91,-5.2984461591843575
92,-5.443791818769007
93,-6.165220037759838
94,-4.767969080202146
95,-4.671416993816303
96,-4.261509748241203
97,-4.791121293367041
98,-4.526964880579347
99,-4.9361608764439024
100,-5.217264528455367
101,-5.436380469776188
102,-4.084601401270074
103,-4.5959905362924856
104,-4.7464258647003525
105,-4.546983042697693
106,-5.473604409877257
107,-5.142426620990789
108,-4.876607059645855
109,-4.960368023744679
110,-4.704804214119247
111,-4.603220856992413
112,-4.800545405724911
113,-5.092122437546867
114,-4.588040053517421
